Date,EDPR.LS,EDP.LS
2018-02-07,6.833645820617676,2.1784040927886963
2018-02-08,6.779914855957031,2.158447742462158
2018-02-09,6.726183891296387,2.1448776721954346
2018-02-12,6.8043389320373535,2.1863863468170166
2018-02-13,6.945993900299072,2.172018051147461
2018-02-14,6.955763339996338,2.194368839263916
2018-02-15,6.975301265716553,2.1999564170837402
2018-02-16,7.019263744354248,2.2414650917053223
2018-02-19,6.970417022705078,2.212728500366211
2018-02-20,6.926455497741699,2.158447742462158
2018-02-21,6.916686058044434,2.1400883197784424
2018-02-22,6.975301265716553,2.176807403564453
2018-02-23,6.985071182250977,2.235079050064087
2018-02-26,6.985071182250977,2.234280824661255
2018-02-27,6.985071182250977,2.2095351219177246
2018-02-28,7.009494781494141,2.1975619792938232
2018-03-01,6.985071182250977,2.1704213619232178
2018-03-02,6.921570301055908,2.2262985706329346
2018-03-05,6.999725341796875,2.235079050064087
2018-03-06,7.019263744354248,2.2430613040924072
2018-03-07,7.019263744354248,2.261420965194702
2018-03-08,7.199995994567871,2.3252806663513184
2018-03-09,7.234189510345459,2.3316662311553955
2018-03-12,7.229304313659668,2.4027099609375
2018-03-13,7.273266315460205,2.4346394538879395
2018-03-14,7.370959758758545,2.4362361431121826
2018-03-15,7.390498638153076,2.4386308193206787
2018-03-16,7.444229602813721,2.4370346069335938
2018-03-19,7.297689437866211,2.400315046310425
2018-03-20,7.47842264175415,2.3891398906707764
2018-03-21,7.483306884765625,2.3947277069091797
2018-03-22,7.50284481048584,2.3651926517486572
2018-03-23,7.453999042510986,2.344438314437866
2018-03-26,7.444229602813721,2.3556134700775146
2018-03-27,7.50284481048584,2.3907361030578613
2018-03-28,7.722655773162842,2.4514026641845703
2018-03-29,7.7763872146606445,2.464972972869873
2018-04-03,7.815464019775391,2.466569185256958
2018-04-04,7.820349216461182,2.4785430431365967
2018-04-05,7.854541301727295,2.4793410301208496
2018-04-06,7.815464019775391,2.464174509048462
2018-04-09,7.786156177520752,2.5583672523498535
2018-04-10,7.8398871421813965,2.5551743507385254
2018-04-11,7.820349216461182,2.5136654376983643
2018-04-12,7.83500337600708,2.5152621269226074
2018-04-13,7.913157939910889,2.5352182388305664
2018-04-16,7.825233459472656,2.5200517177581787
2018-04-17,7.820349216461182,2.524841070175171
2018-04-18,7.737309455871582,2.5328235626220703
2018-04-19,7.703117370605469,2.5599637031555176
2018-04-20,7.722655773162842,2.5583672523498535
2018-04-23,7.7470784187316895,2.564753293991089
2018-04-24,7.786156177520752,2.5839109420776367
2018-04-25,7.766617774963379,2.5623581409454346
2018-04-26,7.83500337600708,2.5368144512176514
2018-04-27,7.874080657958984,2.600987434387207
2018-04-30,7.834709644317627,2.60776948928833
2018-05-02,7.879001617431641,2.595052719116211
2018-05-03,7.879001617431641,2.570467472076416
