Date,VOW3.DE,VOW.DE
2015-06-26,192.60317993164062,196.18215942382812
2015-06-29,186.0615997314453,189.0064239501953
2015-06-30,182.63714599609375,187.3365936279297
2015-07-01,189.88119506835938,193.74510192871094
2015-07-02,187.42259216308594,190.85678100585938
2015-07-03,186.76406860351562,190.27008056640625
2015-07-06,184.12986755371094,187.9684295654297
2015-07-07,179.7395477294922,183.18458557128906
2015-07-08,175.04190063476562,178.26539611816406
2015-07-09,178.86148071289062,183.63589477539062
2015-07-10,180.70542907714844,183.5907745361328
2015-07-13,180.70542907714844,185.71189880371094
2015-07-14,176.3151092529297,181.8758087158203
2015-07-15,173.76873779296875,179.7546844482422
2015-07-16,176.40292358398438,183.3651123046875
2015-07-17,175.6126708984375,182.9589385986328
2015-07-20,174.1638641357422,181.4245147705078
2015-07-21,173.41751098632812,179.52902221679688
