Date,VOW.DE,VOW3.DE
2016-10-07,118.25117492675781,106.5959701538086
2016-10-10,120.41926574707031,109.11363220214844
2016-10-11,119.69657135009766,108.16950988769531
2016-10-12,119.2900619506836,107.98966979980469
2016-10-13,117.93500518798828,105.83168029785156
2016-10-14,119.15454864501953,108.43925476074219
2016-10-17,118.07051086425781,107.58505249023438
2016-10-18,118.79320526123047,109.06867218017578
2016-10-19,119.33523559570312,109.11363220214844
2016-10-20,121.27748107910156,110.95691680908203
2016-10-21,120.9612808227539,110.8220443725586
2016-10-24,122.09050750732422,113.15987396240234
2016-10-25,121.77432250976562,114.10399627685547
2016-10-26,121.45814514160156,113.29474639892578
2016-10-27,122.45185852050781,112.98003387451172
2016-10-28,122.54219055175781,113.2497787475586
2016-10-31,122.8583755493164,112.57540893554688
2016-11-01,120.64511108398438,111.18171691894531
2016-11-02,116.7154541015625,108.12455749511719
2016-11-03,115.67658233642578,107.18041229248047
2016-11-04,115.22489166259766,106.7308349609375
2016-11-07,115.27005767822266,107.31529998779297
2016-11-08,115.08938598632812,106.86571502685547
2016-11-09,113.82466888427734,104.66276550292969
2016-11-10,114.6376953125,103.17913818359375
2016-11-11,116.26376342773438,105.65184020996094
2016-11-14,116.6251220703125,105.20225524902344
2016-11-15,117.25747680664062,106.55101013183594
2016-11-16,115.81208038330078,106.14639282226562
2016-11-17,116.6251220703125,105.69680786132812
2016-11-18,115.67658233642578,105.33714294433594
2016-11-21,117.48331451416016,107.98966979980469
2016-11-22,117.61882019042969,108.43925476074219
2016-11-23,119.01905059814453,110.59725189208984
2016-11-24,120.37410736083984,112.12582397460938
2016-11-25,119.78691864013672,112.4854965209961
2016-11-28,118.25117492675781,110.32749938964844
2016-11-29,117.39298248291016,110.23757934570312
2016-11-30,116.7154541015625,109.51824951171875
2016-12-01,115.72174072265625,107.67497253417969
2016-12-02,115.22489166259766,106.77580261230469
2016-12-05,117.43815612792969,109.33842468261719
2016-12-06,118.16084289550781,109.15858459472656
2016-12-07,121.45814514160156,114.19390869140625
2016-12-08,123.12937927246094,115.9023208618164
2016-12-09,121.81951141357422,115.18299865722656
2016-12-12,121.59365844726562,114.2388687133789
2016-12-13,123.35523223876953,116.12710571289062
2016-12-14,123.58106231689453,115.94727325439453
2016-12-15,124.61992645263672,116.846435546875
2016-12-16,126.15567016601562,117.97039794921875
2016-12-19,126.20084381103516,120.17335510253906
2016-12-20,127.28489685058594,122.51118469238281
2016-12-21,130.26600646972656,124.80404663085938
2016-12-22,129.9046630859375,124.80404663085938
2016-12-23,128.14308166503906,123.63514709472656
