Date,Stocks,Bond,Gold
2016-04-20,2102.39990234375,23.812402725219727,118.97000122070312
2016-04-21,2091.47998046875,23.747573852539062,119.41999816894531
2016-04-22,2091.580078125,23.756832122802734,117.88999938964844
2016-04-25,2087.7900390625,23.719778060913086,118.2300033569336
2016-04-26,2091.699951171875,23.69200325012207,118.69999694824219
2016-04-27,2095.14990234375,23.77535629272461,119.04000091552734
2016-04-28,2075.81005859375,23.830928802490234,121.29000091552734
2016-04-29,2065.300048828125,23.812402725219727,123.6500015258789
2016-05-02,2081.429931640625,23.77531623840332,123.23999786376953
2016-05-03,2063.3701171875,23.8680362701416,122.95999908447266
2016-05-04,2051.1201171875,23.914409637451172,122.20999908447266
2016-05-05,2050.6298828125,23.94222640991211,122.06999969482422
2016-05-06,2057.139892578125,23.89586067199707,123.18000030517578
2016-05-09,2058.68994140625,23.951499938964844,120.6500015258789
2016-05-10,2084.389892578125,23.951499938964844,120.9800033569336
2016-05-11,2064.4599609375,23.97003936767578,122.12000274658203
2016-05-12,2064.110107421875,23.932952880859375,121.16000366210938
2016-05-13,2046.6099853515625,23.997854232788086,121.70999908447266
2016-05-16,2066.659912109375,23.932952880859375,121.80000305175781
2016-05-17,2047.2099609375,23.914409637451172,122.22000122070312
2016-05-18,2047.6300048828125,23.784591674804688,120.0999984741211
2016-05-19,2040.0400390625,23.812406539916992,119.87000274658203
2016-05-20,2052.320068359375,23.830949783325195,119.70999908447266
2016-05-23,2048.0400390625,23.821680068969727,119.37000274658203
2016-05-24,2076.06005859375,23.784591674804688,117.30000305175781
2016-05-25,2090.5400390625,23.76604461669922,116.9800033569336
2016-05-26,2090.10009765625,23.84022331237793,116.58000183105469
2016-05-27,2099.06005859375,23.803133010864258,115.62000274658203
2016-05-31,2096.949951171875,23.84022331237793,116.05999755859375
2016-06-01,2099.330078125,23.823511123657227,115.94000244140625
2016-06-02,2105.260009765625,23.88850212097168,115.66999816894531
2016-06-03,2099.1298828125,24.03704833984375,118.87999725341797
2016-06-06,2109.409912109375,23.990623474121094,118.91999816894531
2016-06-07,2112.1298828125,24.009204864501953,118.81999969482422
2016-06-08,2119.1201171875,24.03704833984375,120.58000183105469
2016-06-09,2115.47998046875,24.06490707397461,121.25
2016-06-10,2096.070068359375,24.129898071289062,121.73999786376953
2016-06-13,2079.06005859375,24.167034149169922,122.63999938964844
2016-06-14,2075.320068359375,24.157751083374023,122.7699966430664
2016-06-15,2071.5,24.20416259765625,123.68000030517578
2016-06-16,2077.989990234375,24.22273826599121,122.37999725341797
2016-06-17,2071.219970703125,24.194883346557617,123.94999694824219
2016-06-20,2083.25,24.111324310302734,123.20999908447266
2016-06-21,2088.89990234375,24.07418441772461,120.83999633789062
2016-06-22,2085.449951171875,24.10203742980957,120.9000015258789
2016-06-23,2113.320068359375,24.01848602294922,120.11000061035156
2016-06-24,2037.4100341796875,24.241300582885742,126.0
2016-06-27,2000.5400390625,24.399147033691406,126.68000030517578
2016-06-28,2036.0899658203125,24.389860153198242,125.31999969482422
2016-06-29,2070.77001953125,24.34343910217285,125.83999633789062
2016-06-30,2098.860107421875,24.361995697021484,126.47000122070312
2016-07-01,2102.949951171875,24.445650100708008,128.41000366210938
2016-07-05,2088.550048828125,24.54789924621582,129.47000122070312
2016-07-06,2099.72998046875,24.54789924621582,130.22999572753906
2016-07-07,2097.89990234375,24.52001953125,129.74000549316406
2016-07-08,2129.89990234375,24.566482543945312,130.52000427246094
2016-07-11,2137.159912109375,24.49213409423828,129.2899932861328
2016-07-12,2152.139892578125,24.380586624145508,127.1500015258789
2016-07-13,2152.429931640625,24.436355590820312,128.32000732421875
2016-07-14,2163.75,24.352706909179688,127.33000183105469
2016-07-15,2161.739990234375,24.287643432617188,126.83999633789062
2016-07-18,2166.889892578125,24.287643432617188,127.04000091552734
2016-07-19,2163.780029296875,24.3248233795166,127.20999908447266
2016-07-20,2173.02001953125,24.26905632019043,125.38999938964844
2016-07-21,2165.169921875,24.315523147583008,127.30000305175781
2016-07-22,2175.030029296875,24.296937942504883,126.3499984741211
2016-07-25,2168.47998046875,24.296937942504883,125.47000122070312
2016-07-26,2169.179931640625,24.306228637695312,126.0
2016-07-27,2166.580078125,24.380586624145508,128.02999877929688
2016-07-28,2170.06005859375,24.380586624145508,127.66000366210938
2016-07-29,2173.60009765625,24.47354507446289,128.97999572753906
2016-08-01,2170.840087890625,24.389789581298828,129.22000122070312
2016-08-02,2157.030029296875,24.343259811401367,130.27000427246094
2016-08-03,2163.7900390625,24.361875534057617,129.64999389648438
2016-08-04,2164.25,24.408401489257812,129.8699951171875
2016-08-05,2182.8701171875,24.296737670898438,127.55000305175781
