Date,SP,Bond,EM,Gold
2013-02-05,0.010416510240551347,-0.001599282392481749,0.0011386291280850447,-0.00024687213662233365
2013-02-06,0.0005491705981217621,0.0008006204312749343,-0.001137334126320555,0.0026549312049666263
2013-02-07,-0.0018053993582290984,0.0,-0.00887947070047046,-0.003386926866340456
2013-02-08,0.005657940611518475,0.0008005827994750359,0.007351117923311445,-0.0016682465384403322
2013-02-11,-0.000606117484177382,-0.00039988513736144427,-0.00045593061670201607,-0.011573994499016527
2013-02-12,0.001595272232703504,-0.0007999180454176802,0.002737761978574449,0.0011897460553353945
2013-02-13,0.000592263093356804,-0.002001568377700935,0.005005681009755625,-0.005253588974277079
2013-02-14,0.0006906716689645265,0.002406405709556969,-0.00045283266632678565,-0.004401112447727451
2013-02-15,-0.0010450813177572682,-0.0007999799509815775,-0.003623686713778218,-0.016356245638453393
2013-02-19,0.007336475471722448,-0.000800792811602391,0.0020455694950767267,-0.0027606104965699485
2013-02-20,-0.012404137955230099,0.0016026966708504453,-0.0088474442178742,-0.025043451643549264
2013-02-21,-0.006303057332801343,0.00040037752095090084,-0.013733193536386024,0.0077918162754770925
2013-02-22,0.008772467921830174,0.00040004510945501615,0.004409312125645215,0.002293317486000923
2013-02-25,-0.018309580659152336,0.005197990471770719,-0.0134008339543773,0.008955972453781325
2013-02-26,0.006109463971145868,-0.0007957201811246151,0.005620532203262751,0.012180931238955583
2013-02-27,0.012725994077109837,-0.0011943165951662227,0.010945334849007393,-0.01056198875682579
2013-02-28,-0.0008640799292052304,0.0007974776477659429,-0.004607397786866585,-0.010157257228600503
2013-03-01,0.002323855425648391,0.001075826943396585,0.0023145718188952724,-0.003660114762050637
2013-03-04,0.00461072337316093,-0.0007964139283909155,-0.009466773749119084,-0.0009183901036885489
2013-03-05,0.00956601649469957,-0.0007969630233491953,0.012121243489274569,0.0005252910666555533
2013-03-06,0.001084512714484509,-0.0019934392985041516,0.004836455118326866,0.0055780996028989005
