Date,SP,Bond,EM,Gold
2013-04-15,1552.3599853515625,22.455053329467773,34.39739227294922,131.30999755859375
2013-04-16,1574.5699462890625,22.428428649902344,35.10454559326172,132.8000030517578
2013-04-17,1552.010009765625,22.437301635742188,34.54893112182617,132.8699951171875
2013-04-18,1541.6099853515625,22.455053329467773,34.54893112182617,134.3000030517578
2013-04-19,1555.25,22.428428649902344,35.054039001464844,135.47000122070312
2013-04-22,1562.5,22.446178436279297,35.22239303588867,137.89999389648438
2013-04-23,1578.780029296875,22.428428649902344,35.39076614379883,136.8800048828125
2013-04-24,1578.7900390625,22.437301635742188,35.60122299194336,138.3699951171875
2013-04-25,1585.1600341796875,22.446178436279297,35.921119689941406,141.6300048828125
2013-04-26,1582.239990234375,22.490549087524414,35.55913162231445,140.91000366210938
